province,year_month,dengue_cases,temperature,humidity,rainfall,lat,lon,month,year,month_sin,month_cos,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,dengue_cases_lag_6,dengue_cases_lag_12,temperature_lag_1,temperature_lag_2,temperature_lag_3,humidity_lag_1,humidity_lag_2,humidity_lag_3,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,dengue_cases_roll_3,dengue_cases_roll_6,temperature_roll_3,temperature_roll_6,humidity_roll_3,humidity_roll_6,rainfall_roll_3,rainfall_roll_6,temperature_std_3,temperature_std_6,humidity_std_3,humidity_std_6,rainfall_std_3,rainfall_std_6,dengue_growth_rate,outbreak_momentum,target_h1,target_h2,target_h3
CHIANG MAI,2017-05,114,26.26,80.33,9.84,18.708271026500057,98.72501874169616,5,2017,0.49999999999999994,-0.8660254037844387,37.0,27.0,23.0,182.0,96.0,27.37,26.29,22.85,62.45,47.21,54.19,3.0,0.96,0.0,29.0,60.5,25.503333333333334,23.348333333333333,54.61666666666667,67.71333333333334,1.3200000000000003,1.2433333333333334,2.3604519341289967,2.8424455433071465,7.6289536198178745,15.431077300910209,1.532057440176441,1.1336607370226217,0.3124999023437805,14.0,232.0,413.0,256.0
CHIANG MAI,2017-06,232,25.21,83.22,4.87,18.708271026500057,98.72501874169616,6,2017,1.2246467991473532e-16,-1.0,114.0,37.0,27.0,61.0,260.0,26.26,27.37,26.29,80.33,62.45,47.21,9.84,3.0,0.96,59.333333333333336,49.166666666666664,26.64,24.041666666666668,63.330000000000005,66.74666666666667,4.6000000000000005,2.563333333333333,0.63237647015049,2.9810294642399406,16.57752695669649,14.177381516580072,4.651193395248148,3.7260255858846,1.0198674145870974,87.0,413.0,256.0,131.0
CHIANG MAI,2017-07,413,24.49,86.21,9.15,18.708271026500057,98.72501874169616,7,2017,-0.4999999999999997,-0.8660254037844388,232.0,114.0,37.0,33.0,903.0,25.21,26.26,27.37,83.22,80.33,62.45,4.87,9.84,3.0,127.66666666666667,77.66666666666667,26.28,24.833333333333332,75.33333333333333,67.40166666666667,5.903333333333333,3.3516666666666666,1.0801388799594214,2.4169788304134308,11.25047702692345,14.942905228457626,3.5351426185280457,3.609312492243734,0.6820808854288506,195.0,256.0,131.0,117.0
CHIANG MAI,2017-08,256,24.57,86.87,7.9,18.708271026500057,98.72501874169616,8,2017,-0.8660254037844385,-0.5000000000000004,413.0,232.0,114.0,23.0,1339.0,24.49,25.21,26.26,86.21,83.22,80.33,9.15,4.87,9.84,253.0,141.0,25.319999999999997,25.411666666666665,83.25333333333333,68.93499999999999,7.953333333333333,4.636666666666667,0.8901123524589433,1.5986546427126413,2.9401417199401183,16.515318646638327,2.692440033377406,4.1278210555529995,0.5612402926747196,299.0,131.0,117.0,74.0
CHIANG MAI,2017-09,131,24.76,88.6,6.37,18.708271026500057,98.72501874169616,9,2017,-1.0,-1.8369701987210297e-16,256.0,413.0,232.0,27.0,700.0,24.57,24.49,25.21,86.87,86.21,83.22,7.9,9.15,4.87,300.3333333333333,179.83333333333334,24.756666666666664,25.698333333333334,85.43333333333334,74.38166666666666,7.3066666666666675,5.953333333333333,0.3946306289852912,1.1341678300263538,1.9450021422436619,16.062570674293294,2.200825602662176,3.576130124403568,-0.4693572355947015,24.0,117.0,74.0,53.0
CHIANG MAI,2017-10,117,23.35,90.33,6.52,18.708271026500057,98.72501874169616,10,2017,-0.8660254037844386,0.5000000000000001,131.0,256.0,413.0,37.0,216.0,24.76,24.57,24.49,88.6,86.87,86.21,6.37,7.9,9.15,266.6666666666667,197.16666666666666,24.606666666666666,25.44333333333333,87.22666666666667,81.28,7.806666666666666,6.855,0.13868429375140737,1.1464670368862264,1.2342744157327399,9.678537079538453,1.3923481365424846,2.619379697562003,-0.6459947986565996,-282.0,74.0,53.0,18.0
CHIANG MAI,2017-11,74,21.28,88.18,0.68,18.708271026500057,98.72501874169616,11,2017,-0.5000000000000004,0.8660254037844384,117.0,131.0,256.0,114.0,182.0,23.35,24.76,24.57,90.33,88.6,86.87,6.52,6.37,7.9,168.0,210.5,24.22666666666667,24.77333333333333,88.60000000000001,85.92666666666666,6.93,7.441666666666666,0.7651361534611532,0.9537854405822477,1.7299999999997155,3.6374423248579117,0.8433860326090302,1.8703947889861858,-0.11290321670135349,-139.0,53.0,18.0,13.0
CHIANG MAI,2017-12,53,18.84,84.56,0.86,18.708271026500057,98.72501874169616,12,2017,-2.4492935982947064e-16,1.0,74.0,117.0,131.0,232.0,61.0,21.28,23.35,24.76,88.18,90.33,88.6,0.68,6.52,6.37,107.33333333333333,203.83333333333334,23.13,23.94333333333334,89.03666666666668,87.235,4.523333333333333,5.915,1.7503999542961632,1.4427982071886065,1.1395759445216214,2.434721750016038,3.329269189076387,2.9487539741389095,-0.4502617329568866,-57.0,18.0,13.0,11.0
CHIANG MAI,2018-01,18,19.67,77.16,0.32,18.708271026500057,98.72501874169616,1,2018,0.49999999999999994,0.8660254037844387,53.0,74.0,117.0,413.0,33.0,18.84,21.28,23.35,84.56,88.18,90.33,0.86,0.68,6.52,81.33333333333333,174.0,21.156666666666666,22.881666666666664,87.69,87.45833333333333,2.686666666666666,5.246666666666666,2.257528146742223,2.3700246130930043,2.9160418378341313,2.018686866918156,3.320983789983527,3.612664759795279,-0.33070860933722684,-64.0,13.0,11.0,17.0
CHIANG MAI,2018-02,13,21.6,68.78,0.31,18.708271026500057,98.72501874169616,2,2018,0.8660254037844386,0.5000000000000001,18.0,53.0,74.0,256.0,23.0,19.67,18.84,21.28,77.16,84.56,88.18,0.32,0.86,0.68,48.333333333333336,108.16666666666667,19.930000000000003,22.078333333333333,83.3,85.95,0.62,3.775,1.240604691269569,2.527492169457035,5.617009880710488,4.716405410903641,0.27495454169740113,3.5013697319763315,-0.9859152152351506,-56.0,11.0,17.0,33.0
